BE Number,BE Date,HSN CODE,Product Description,IEC,Indian Company,ADDRESS1,CITY,Pin Code,Indian Port,MODE,Foreign Company,Supplier_Address,Shipment_Port_Code,Shipment_Port,Foreign Country,Quantity,UQC,Invoice_Unit_Price_FOREIGN CURRENCY,Total assess value in Foreign currency,INVOICE_CURRENCY,Unit_Price in INR,Amount (INR),Total_Duty_Paid,CHA_Number,CHA_Name,BE_Type
6914938,1/1/2022,29336910,CYANURIC CHLORIDE 99.3% MIN,0388026049,ESKAY DYESTUFFS AND ORGANIC CHEMICALS PVT LTD,"2ND FLOOR, 22D WADIA BUILDINGS,  S A BRELVI ROAD, FORT,",MUMBAI,400001,NHAVA SHEVA SEA (INNSA1),SEA,HEBEI SHANLI CHEMICAL CO. LTD.,NA,NA,NA,CHINA,"31,000",KGS,5,"158,100",USD,393,"12,197,415","3,382,953",NA,NA,House Consumption
6915376,1/1/2022,29336910,CYANURIC CHLORIDE 99.5% MIN,0388026049,ESKAY DYESTUFFS AND ORGANIC CHEMICALS PVT LTD,"2ND FLOOR, 22D WADIA BUILDINGS,  S A BRELVI ROAD, FORT,",MUMBAI,400001,NHAVA SHEVA SEA (INNSA1),SEA,YNNOVATE SANZHENG(YINGKOU) FINE CHEMICALS CO. LTD,NA,NA,NA,CHINA,"25,497",KGS,4,"89,238",USD,270,"6,884,692","1,393,118",NA,NA,House Consumption
6915376,1/1/2022,29336910,CYANURIC CHLORIDE 99.5% MIN,0388026049,ESKAY DYESTUFFS AND ORGANIC CHEMICALS PVT LTD,"2ND FLOOR, 22D WADIA BUILDINGS,  S A BRELVI ROAD, FORT,",MUMBAI,400001,NHAVA SHEVA SEA (INNSA1),SEA,YNNOVATE SANZHENG(YINGKOU) FINE CHEMICALS CO. LTD,NA,NA,NA,CHINA,"19,504",KGS,4,"68,262",USD,270,"5,266,433","1,460,645",NA,NA,House Consumption
6915971,1/1/2022,29336990,CYANURIC CHLORIDE,0388046295,DEEPAK NITRITE LIMITED,AADITYA-1  CHHANI ROAD Contact No: 91987953404,VADODARA,390024,HAZIRA PORT SURAT (INHZA1),SEA,YNNOVATE SANZHENG (YINGKOU) FINE CHEMICAL CO.LTD,NA,NA,NA,CHINA,36,MT,"3,550","127,800",USD,"273,883","9,859,770","1,995,125",NA,NA,House Consumption
6919012,1/1/2022,29336990,CYANURIC CHLORIDE AS PER INV,0898001641,AMTEX DYECHEM INDUSTRIES,"PLOT NO. 280- 281-282, OPP. VATVA,  RAILWAY STATION, GIDC, PHASE II, VA","AHMEDABAD,GUJARAT",382445,AHEMDABAD ICD (INSBI6),ICD,HINDPRAKASH TRADELINK PVT LTD (RAKFTZ BRANCE),NA,NA,NA,CHINA,"15,000",KGS,5,"76,500",USD,393,"5,901,975","1,636,913",NA,NA,House Consumption
6935082,1/3/2022,29336910,CYANURIC CHLORIDE,0300073259,HUNTSMAN INTERNATIONAL (INDIA) PRIVATE LIMITED,"LIGHTHALL, B-WING, SAKI VIHAR ROAD  ,,ANDHERI","MUMBAI,MAHARASHTRA",400072,NHAVA SHEVA SEA (INNSA1),SEA,YNNOVATE SANZHENG (YINGKOU) FINE CHEMICALS CO.LTD.,NA,NA,NA,CHINA,"15,000",KGS,5,"70,500",USD,363,"5,439,075","1,508,528",NA,NA,House Consumption
6935190,1/3/2022,29336910,CYANURIC CHLORIDE,0300073259,HUNTSMAN INTERNATIONAL (INDIA) PRIVATE LIMITED,"LIGHTHALL, B-WING, SAKI VIHAR ROAD  ,,ANDHERI","MUMBAI,MAHARASHTRA",400072,NHAVA SHEVA SEA (INNSA1),SEA,YNNOVATE SANZHENG (YINGKOU) FINE CHEMICALS CO.LTD.,NA,NA,NA,CHINA,"5,100",KGS,5,"23,970",USD,363,"1,849,286","512,899",NA,NA,House Consumption
6935190,1/3/2022,29336910,CYANURIC CHLORIDE,0300073259,HUNTSMAN INTERNATIONAL (INDIA) PRIVATE LIMITED,"LIGHTHALL, B-WING, SAKI VIHAR ROAD  ,,ANDHERI","MUMBAI,MAHARASHTRA",400072,NHAVA SHEVA SEA (INNSA1),SEA,YNNOVATE SANZHENG (YINGKOU) FINE CHEMICALS CO.LTD.,NA,NA,NA,CHINA,"9,000",KGS,5,"42,300",USD,363,"3,263,445","905,117",NA,NA,House Consumption
6941515,1/4/2022,29336990,CYANURIC CHLORIDE,0801004799,PASUPATI INDUSTRIES,"169,/1/A GIDC , PHASE I,  NARODA,",AHMEDABAD,382330,NHAVA SHEVA SEA (INNSA1),SEA,"WEIFANG ZHONGYING CHEMICAL CO.,LTD.",NA,NA,NA,CHINA,"13,000",KGS,5,"63,050",USD,374,"4,864,308","984,293",NA,NA,X-Bond Shipment
6943119,1/4/2022,29336990,CYANURIC CHLORIDE,0801004799,PASUPATI INDUSTRIES,"169,/1/A GIDC , PHASE I,  NARODA,",AHMEDABAD,382330,AHEMDABAD ICD (INSBI6),ICD,"HEBEI SHANLI CHEMICAL CO.,LTD",NA,NA,NA,CHINA,"15,000",KGS,5,"73,500",USD,378,"5,670,525","1,147,431",NA,NA,House Consumption
